subj	block	trial	run_index	voc_chan	gap_len	attn	hit	miss	fals	crej	frsp	slot	attn_lett	mask_lett	targ	foil	press	onset	press_time	reax_time
13	0	16	68	20	long	maint.	False	False	True	False	True	1	V	O	False	True	True	0.5	1.00325223233	0.503252232326
13	0	16	68	20	long	maint.	True	False	False	False	False	2	O	D	True	False	True	1.6	2.12879495372	0.528794953715
13	0	16	68	20	long	maint.	False	False	False	True	False	3	G	P	False	False	False	2.1		
13	0	17	31	20	long	maint.	True	False	False	False	False	0	O	G	True	False	True	0.0	0.643950192512	0.643950192512
13	0	17	31	20	long	maint.	False	False	False	True	False	1	G	P	False	False	False	0.5		
13	0	17	31	20	long	maint.	False	True	False	False	False	2	O	E	True	False	False	1.6		
13	0	17	31	20	long	maint.	False	False	False	True	False	3	V	D	False	False	False	2.1		
13	0	18	81	20	short	switch	True	False	False	False	False	0	O	G	True	False	True	0.0	0.643008110101	0.643008110101
13	0	18	81	20	short	switch	False	False	False	True	False	1	D	V	False	False	False	0.5		
13	0	18	81	20	short	switch	False	False	False	True	False	2	E	P	False	False	False	1.2		
13	0	18	81	20	short	switch	True	False	False	False	False	3	O	D	True	False	True	1.7	2.10028672073	0.400286720734
13	0	19	102	20	long	switch	False	False	False	True	False	0	D	V	False	False	False	0.0		
13	0	19	102	20	long	switch	True	False	False	False	False	1	O	E	True	False	True	0.5	0.966879659212	0.466879659212
13	0	19	102	20	long	switch	False	False	True	False	False	2	V	G	False	False	True	1.6	2.11085442779	0.510854427787
13	0	19	102	20	long	switch	False	True	False	False	False	3	O	D	True	False	False	2.1		
13	0	20	140	20	long	switch	True	False	False	False	False	0	O	G	True	False	True	0.0	0.791119849267	0.791119849267
13	0	20	140	20	long	switch	False	False	False	True	False	1	V	D	False	False	False	0.5		
13	0	20	140	20	long	switch	False	False	False	True	False	2	D	O	False	True	False	1.6		
13	0	20	140	20	long	switch	False	False	False	True	False	3	G	E	False	False	False	2.1		
13	0	21	124	20	short	switch	False	False	False	True	False	0	V	E	False	False	False	0.0		
13	0	21	124	20	short	switch	True	False	False	False	False	1	O	P	True	False	True	0.5	0.973760956828	0.473760956828
13	0	21	124	20	short	switch	False	True	False	False	False	2	O	D	True	False	False	1.2		
13	0	21	124	20	short	switch	False	False	True	False	False	3	E	G	False	False	True	1.7	2.42976980421	0.729769804211
13	0	22	22	20	long	maint.	False	False	False	True	False	0	E	D	False	False	False	0.0		
13	0	22	22	20	long	maint.	False	True	False	False	False	1	O	P	True	False	False	0.5		
13	0	22	22	20	long	maint.	False	False	True	False	False	2	V	G	False	False	True	1.6	1.74843942	0.148439420005
13	0	22	22	20	long	maint.	False	False	False	True	False	3	G	O	False	True	False	2.1		
13	0	23	93	20	short	switch	True	False	False	False	False	0	O	E	True	False	True	0.0	0.705677070533	0.705677070533
13	0	23	93	20	short	switch	False	False	False	True	False	1	P	D	False	False	False	0.5		
13	0	23	93	20	short	switch	False	True	False	False	False	2	O	G	True	False	False	1.2		
13	0	23	93	20	short	switch	False	False	False	True	False	3	G	V	False	False	False	1.7		
13	0	24	80	20	short	switch	True	False	False	False	False	0	O	D	True	False	True	0.0	0.507798803965	0.507798803965
13	0	24	80	20	short	switch	False	False	False	True	False	1	E	P	False	False	False	0.5		
13	0	24	80	20	short	switch	True	False	False	False	False	2	O	G	True	False	True	1.2	1.98326370116	0.783263701155
13	0	24	80	20	short	switch	False	False	False	True	False	3	P	V	False	False	False	1.7		
13	0	25	140	10	long	switch	True	False	False	False	False	0	O	G	True	False	True	0.0	0.609093143278	0.609093143278
13	0	25	140	10	long	switch	False	False	False	True	False	1	V	D	False	False	False	0.5		
13	0	25	140	10	long	switch	False	False	False	True	False	2	D	O	False	True	False	1.6		
13	0	25	140	10	long	switch	False	False	False	True	False	3	G	E	False	False	False	2.1		
13	0	26	124	10	short	switch	False	False	False	True	False	0	V	E	False	False	False	0.0		
13	0	26	124	10	short	switch	True	False	False	False	False	1	O	P	True	False	True	0.5	1.1708609814	0.670860981404
13	0	26	124	10	short	switch	False	True	False	False	False	2	O	D	True	False	False	1.2		
13	0	26	124	10	short	switch	False	False	False	True	False	3	E	G	False	False	False	1.7		
13	0	27	49	10	short	maint.	False	False	False	True	False	0	V	P	False	False	False	0.0		
13	0	27	49	10	short	maint.	False	False	False	True	False	1	P	O	False	True	False	0.5		
13	0	27	49	10	short	maint.	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	0	27	49	10	short	maint.	False	False	True	False	False	3	E	D	False	False	True	1.7	2.23545506676	0.535455066765
13	0	28	46	20	short	maint.	False	False	False	True	False	0	P	D	False	False	False	0.0		
13	0	28	46	20	short	maint.	True	False	False	False	False	1	O	E	True	False	True	0.5	1.04994675186	0.549946751864
13	0	28	46	20	short	maint.	False	True	False	False	False	2	O	V	True	False	False	1.2		
13	0	28	46	20	short	maint.	False	False	True	False	False	3	D	G	False	False	True	1.7	2.37873351356	0.678733513558
13	0	29	31	10	long	maint.	False	True	False	False	False	0	O	G	True	False	False	0.0		
13	0	29	31	10	long	maint.	False	False	False	True	False	1	G	P	False	False	False	0.5		
13	0	29	31	10	long	maint.	True	False	False	False	False	2	O	E	True	False	True	1.6	1.85919554354	0.259195543541
13	0	29	31	10	long	maint.	False	False	False	True	False	3	V	D	False	False	False	2.1		
13	0	30	159	20	long	switch	False	False	False	True	False	0	P	O	False	True	False	0.0		
13	0	30	159	20	long	switch	False	False	False	True	False	1	D	V	False	False	False	0.5		
13	0	30	159	20	long	switch	False	False	True	False	False	2	E	D	False	False	True	1.6	1.96864094372	0.368640943721
13	0	30	159	20	long	switch	False	False	False	True	False	3	V	O	False	True	False	2.1		
13	0	31	49	20	short	maint.	False	False	False	True	False	0	V	P	False	False	False	0.0		
13	0	31	49	20	short	maint.	False	False	False	True	False	1	P	O	False	True	False	0.5		
13	0	31	49	20	short	maint.	True	False	False	False	False	2	O	V	True	False	True	1.2	2.00874088638	0.808740886377
13	0	31	49	20	short	maint.	False	False	False	True	False	3	E	D	False	False	False	1.7		
13	1	0	130	10	short	switch	False	False	False	True	False	0	D	O	False	True	False	0.0		
13	1	0	130	10	short	switch	False	False	False	True	False	1	V	G	False	False	False	0.5		
13	1	0	130	10	short	switch	True	False	False	False	False	2	O	V	True	False	True	1.2	2.16475792578	0.96475792578
13	1	0	130	10	short	switch	False	False	False	True	False	3	G	E	False	False	False	1.7		
13	1	1	43	10	short	maint.	False	False	False	True	False	0	G	V	False	False	False	0.0		
