subj	block	trial	run_index	voc_chan	gap_len	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
01	3	7	85	20	short	switch	1	0	1	2	[0.94242647661178, 2.1247399033341527]	['V' 'O' 'G' 'E']	['D' 'G' 'E' 'O']
01	3	8	11	10	short	maint	0	1	0	4	[]	['V' 'E' 'O' 'P']	['O' 'G' 'P' 'V']
01	3	9	97	10	short	switch	1	0	0	3	[2.128385352666503]	['D' 'G' 'V' 'O']	['O' 'V' 'G' 'D']
01	3	10	97	20	short	switch	1	0	0	3	[2.111509789465061]	['D' 'G' 'V' 'O']	['O' 'V' 'G' 'D']
01	3	11	141	20	long	switch	1	1	0	3	[2.535323994429426]	['O' 'P' 'G' 'O']	['G' 'V' 'P' 'E']
01	3	12	69	10	long	maint	0	1	0	4	[]	['G' 'D' 'O' 'P']	['O' 'G' 'V' 'D']
01	3	13	112	10	long	switch	1	0	0	3	[1.8342917997870076]	['P' 'E' 'O' 'D']	['O' 'G' 'E' 'P']
01	3	14	40	20	short	maint	2	0	0	2	[0.6042188908003605, 2.328557385106906]	['O' 'D' 'O' 'P']	['D' 'P' 'V' 'G']
01	3	15	69	20	long	maint	1	0	0	3	[2.565470631604817]	['G' 'D' 'O' 'P']	['O' 'G' 'V' 'D']
01	3	16	101	20	long	switch	1	0	0	3	[0.5309003031047761]	['O' 'V' 'D' 'P']	['G' 'P' 'O' 'D']
01	3	17	37	20	long	maint	1	1	0	3	[2.143950192512493]	['O' 'E' 'V' 'O']	['V' 'P' 'E' 'D']
01	3	18	24	20	long	maint	1	1	0	3	[1.8368722863930533]	['G' 'O' 'V' 'O']	['E' 'D' 'P' 'G']
01	3	19	56	20	short	maint	2	0	0	2	[0.6135168346030966, 2.0746456950929795]	['O' 'P' 'O' 'E']	['D' 'V' 'G' 'P']
01	3	20	128	20	short	switch	1	0	0	3	[2.0756287376095686]	['D' 'G' 'O' 'P']	['G' 'O' 'E' 'D']
01	3	21	149	20	long	switch	2	0	0	2	[0.472695994101745, 2.025616449578111]	['O' 'G' 'O' 'E']	['P' 'E' 'D' 'G']
01	3	22	101	10	long	switch	1	0	0	3	[0.5499467518636849]	['O' 'V' 'D' 'P']	['G' 'P' 'O' 'D']
01	3	23	56	10	short	maint	2	0	0	2	[0.6425165888424673, 2.0734168919472435]	['O' 'P' 'O' 'E']	['D' 'V' 'G' 'P']
01	3	24	40	10	short	maint	2	0	0	2	[0.5100106496272632, 2.3968788400098306]	['O' 'D' 'O' 'P']	['D' 'P' 'V' 'G']
01	3	25	85	10	short	switch	1	0	1	2	[0.9983779798476284, 2.161644957811092]	['V' 'O' 'G' 'E']	['D' 'G' 'E' 'O']
01	3	26	37	10	long	maint	2	0	0	2	[0.7461866142377325, 2.2069058736790366]	['O' 'E' 'V' 'O']	['V' 'P' 'E' 'D']
01	3	27	128	10	short	switch	1	0	1	2	[0.9710985500122882, 2.2654378635209307]	['D' 'G' 'O' 'P']	['G' 'O' 'E' 'D']
01	3	28	149	10	long	switch	2	0	0	2	[0.5735807323666748, 2.374555582862292]	['O' 'G' 'O' 'E']	['P' 'E' 'D' 'G']
01	3	29	63	10	long	maint	2	0	0	2	[0.9517653805193742, 2.1430900303104776]	['D' 'O' 'O' 'P']	['V' 'P' 'E' 'D']
01	3	30	145	10	long	switch	1	0	0	3	[0.8752519046448759]	['P' 'O' 'G' 'D']	['G' 'V' 'O' 'P']
01	3	31	141	10	long	switch	2	0	0	2	[0.741640042598509, 2.5307774227902025]	['O' 'P' 'G' 'O']	['G' 'V' 'P' 'E']
01	4	0	28	20	long	maint	1	0	0	3	[1.6305971983288279]	['E' 'G' 'O' 'D']	['O' 'E' 'G' 'P']
01	4	1	6	20	short	maint	1	0	0	3	[1.3124191037929056]	['G' 'O' 'V' 'E']	['V' 'G' 'P' 'O']
01	4	2	110	10	long	switch	1	0	0	3	[1.6507086098140413]	['V' 'D' 'O' 'E']	['O' 'V' 'E' 'D']
01	4	3	94	10	short	switch	1	0	0	3	[1.613352994183665]	['P' 'E' 'O' 'V']	['O' 'D' 'E' 'P']
01	4	4	106	10	long	switch	1	0	0	3	[0.9021626935364955]	['D' 'O' 'E' 'P']	['E' 'P' 'D' 'O']
01	4	5	28	10	long	maint	1	0	0	3	[1.6671336118620466]	['E' 'G' 'O' 'D']	['O' 'E' 'G' 'P']
01	4	6	158	20	long	switch	1	1	0	3	[2.535651675268289]	['O' 'G' 'E' 'O']	['G' 'V' 'D' 'P']
01	4	7	110	20	long	switch	1	0	0	3	[1.746063733923159]	['V' 'D' 'O' 'E']	['O' 'V' 'E' 'D']
01	4	8	119	20	long	switch	0	0	0	4	[]	['D' 'G' 'V' 'P']	['O' 'P' 'O' 'E']
01	4	9	119	10	long	switch	0	0	1	3	[1.8903661833374295]	['D' 'G' 'V' 'P']	['O' 'P' 'O' 'E']
01	4	10	137	20	short	switch	1	0	0	3	[2.5684607192594413]	['D' 'P' 'E' 'O']	['O' 'D' 'P' 'E']
01	4	11	94	20	short	switch	1	0	0	3	[1.780961743262063]	['P' 'E' 'O' 'V']	['O' 'D' 'E' 'P']
01	4	12	62	20	long	maint	1	1	1	2	[1.0222577209797659, 2.6752437126239044]	['G' 'O' 'O' 'D']	['D' 'E' 'G' 'P']
01	4	13	137	10	short	switch	1	0	0	3	[2.544949619071025]	['D' 'P' 'E' 'O']	['O' 'D' 'P' 'E']
01	4	14	156	10	long	switch	1	0	0	3	[2.0734988121569593]	['P' 'E' 'O' 'D']	['O' 'D' 'P' 'G']
01	4	15	144	10	long	switch	2	0	0	2	[1.248889981158352, 2.5757925780289996]	['D' 'O' 'P' 'O']	['G' 'E' 'V' 'D']
